,,,LALANDER 5 Building General Expenses sheet,,,,,,,,,,,,,,
,,,جدول عمومی مصارفات تعمیر للندر 5,,,,,,,,,,,,,,
ملاحظات,مجموع مصارفات به دالر,مصارف افغانی+ دالری,مصرف دالری,نرخ اسعار,,مصرف افغانی ,توضیحات,بل نمبر ,پروژه,تاریخ,شماره ,,,,,,
Remarks,Total Expenses by USD,AFN+USD,USD,Exchange Rate,,AFN,Discretion,Bill No,Project,DATE,S/N,,,,,,
توسط عرش الله,$586 ,$585.71 ,,$70.00 ,"AFN 41,000","AFN 41,000",پرداخت برای کاکا بادام گل روز الدین در ساحه بابت انتقال پرانه به دارالامان و بارگیری استکواتور ,,,7-Dec-24,1,,,,,,
توسط عرش الله,$791 ,$205.71 ,,$70.00 ,"AFN 14,400","AFN 14,400",خریداری آهن چادر 0.5/125 ایرانی به تعمیرللندر 5 توسط سمیرللندر 5,,,10-Dec-24,2,,,,,,
توسط عرش الله,"$2,629 ","$1,838.00 ","$1,838 ",$70.00 ,AFN 0,AFN 0,خریداری سیخ گول 14 ملی و سیخ گول 10 ملی ملی همراه با سیم جستی به تعمیرللندر 5 توسط سمیر (2455) کیلو),,,10-Dec-24,3,,,,,,
توسط عرش الله,"$2,679 ",$50.00 ,,$70.00 ,"AFN 3,500","AFN 3,500","خریداری تیل پطرول به موتر کرولا, زاغ نول ,کلفت متوسط , کلفت خورد و پیچ واشر دار به تعمیرللندر 5 توسط سمیر للندر ",,,12-Dec-24,4,,,,,,
توسط عرش الله,"$2,894 ",$214.29 ,,$70.00 ,"AFN 15,000","AFN 15,000",پرداخت معاش فرید للندر بابت ماه قوس 1403,,,25-Dec-24,5,,,,,,
توسط عرش الله,"$3,902 ","$1,008.66 ",,$70.00 ,"AFN 111,606","AFN 70,606","پرداخت تعرفه تحویلی ریاست آبرسانی بابت سروی , دیزائین , اراده اسناد , سه بار نظارت در جریان تطبیق و مراقبت چاه فاضلاب تعمیرللندر 5 واقع کارته چهار و کمیشن بانکی",,,25-Dec-24,6,,,,,,
توسط عرش الله,"$4,474 ",$571.43 ,,$70.00 ,"AFN 151,606","AFN 40,000",پرداخت برای شرکت لابرتواری BMGS بابت 50% قرارداد تست خاک تعمیرللندر 5,,,30-Dec-25,7,,,,,,
توسط عرش الله,"$4,645 ",$171.43 ,,$70.00 ,"AFN 163,606","AFN 12,000",خریداری سه موتر گل زرد به چاه تعمیرللندر 5,,,18-Jan-25,8,,,,,,
توسط عرش الله,"$5,074 ",$428.57 ,,$70.00 ,"AFN 193,606","AFN 30,000",پیش پرداخت برای مشعل بابت حفر چاه عمیق تعمیرللندر 5,,,18-Jan-25,9,,,,,,
توسط عرش الله,"$5,288 ",$214.29 ,,$70.00 ,"AFN 208,606","AFN 15,000",پرداخت معاش فرید للندر بابت ماه جدی 1403,,,19-Jan-25,10,,,,,,
